,Database,Gene ID,Record Name,Amino Acids,Keywords,SimChrom
Q92979,BioGRID,NEP1_HUMAN,Ribosomal RNA small subunit methyltransferase NEP1 {ECO:0000305|PubMed:20047967},244,3D-structure; Acetylation; Direct protein sequencing; Disease variant;Methyltransferase; Nucleus; Phosphoprotein; Reference proteome;Ribosome biogenesis; RNA-binding; rRNA processing; rRNA-binding;S-adenosyl-L-methionine; Transferase.,
P18085,BioGRID,ARF4_HUMAN,ADP-ribosylation factor 4,180,3D-structure; ER-Golgi transport; Golgi apparatus; GTP-binding;Lipoprotein; Membrane; Myristate; Nucleotide-binding; Phosphoprotein;Protein transport; Reference proteome; Transport.,
Q09028,Gene Ontology,RBBP4_HUMAN,Histone-binding protein RBBP4,425,3D-structure; Acetylation; Alternative splicing; Cell cycle;Chromatin regulator; Chromosome; Direct protein sequencing;DNA replication; Isopeptide bond; Nucleus; Phosphoprotein;Reference proteome; Repeat; Repressor; Telomere; Transcription;Transcription regulation; Ubl conjugation; WD repeat.,Chromatin remodelers;DNA replication;Telomere-associated;DNA-modifying enzymes;Histone chaperones
O00482,Gene Ontology,NR5A2_HUMAN,Nuclear receptor subfamily 5 group A member 2,541,3D-structure; Activator; Alternative splicing; DNA-binding;Isopeptide bond; Lipid-binding; Metal-binding; Nucleus; Receptor;Reference proteome; Transcription; Transcription regulation;Ubl conjugation; Zinc; Zinc-finger.,Nuclear hormone receptors;Regulation of transcription;DNA-binding transcription factors
P49916,Gene Ontology,DNLI3_HUMAN,DNA ligase 3,1009,3D-structure; Alternative initiation; Alternative splicing; ATP-binding;Cell cycle; Cell division; Disease variant; DNA damage; DNA recombination;DNA repair; DNA replication; Ligase; Magnesium; Metal-binding;Mitochondrion; Nucleotide-binding; Nucleus; Phosphoprotein;Primary mitochondrial disease; Reference proteome; Transit peptide; Zinc;Zinc-finger.,DNA replication;DNA repair;DNA-modifying enzymes
Q9UIV8,BioGRID,SPB13_HUMAN,Serpin B13,391,Alternative splicing; Cytoplasm; Protease inhibitor; Reference proteome;Serine protease inhibitor.,
P07237,BioGRID,PDIA1_HUMAN,Protein disulfide-isomerase,508,3D-structure; Acetylation; Cell membrane; Chaperone; Craniosynostosis;Direct protein sequencing; Disease variant; Disulfide bond;Endoplasmic reticulum; Isomerase; Membrane; Osteogenesis imperfecta;Phosphoprotein; Redox-active center; Reference proteome; Repeat; Signal.,
P82675,BioGRID,RT05_HUMAN,Small ribosomal subunit protein uS5m {ECO:0000303|PubMed:25838379},430,3D-structure; Alternative splicing; Mitochondrion; Reference proteome;Ribonucleoprotein; Ribosomal protein.,
P09382,BioGRID,LEG1_HUMAN,Galectin-1,135,3D-structure; Acetylation; Apoptosis; Cytoplasm; Direct protein sequencing;Extracellular matrix; Lectin; Phosphoprotein; Reference proteome; Secreted.,
Q96SI9,Gene Ontology,STRBP_HUMAN,Spermatid perinuclear RNA-binding protein,672,3D-structure; Alternative splicing; Cytoplasm; Developmental protein;Differentiation; DNA-binding; Methylation; Reference proteome; Repeat;RNA-binding; Spermatogenesis.,
Q06830,BioGRID,PRDX1_HUMAN,Peroxiredoxin-1,199,3D-structure; Acetylation; Antioxidant; Cytoplasm;Direct protein sequencing; Disulfide bond; Isopeptide bond; Oxidoreductase;Peroxidase; Phosphoprotein; Redox-active center; Reference proteome;Ubl conjugation.,
O75746,BioGRID,S2512_HUMAN,"Electrogenic aspartate/glutamate antiporter SLC25A12, mitochondrial {ECO:0000305|PubMed:9722566}",678,3D-structure; Acetylation; Alternative splicing; Calcium; Disease variant;Membrane; Metal-binding; Mitochondrion; Mitochondrion inner membrane;Reference proteome; Repeat; Transmembrane; Transmembrane helix; Transport.,
Q96BD5,Gene Ontology,PF21A_HUMAN,PHD finger protein 21A,680,3D-structure; Alternative splicing; Chromatin regulator; Coiled coil;Disease variant; DNA-binding; Epilepsy; Intellectual disability;Isopeptide bond; Metal-binding; Nucleus; Phosphoprotein;Reference proteome; Repressor; Transcription; Transcription regulation;Ubl conjugation; Zinc; Zinc-finger.,DNA repair
Q8WWM7,BioGRID,ATX2L_HUMAN,Ataxin-2-like protein,1075,Acetylation; Alternative splicing; Cytoplasm; Direct protein sequencing;Isopeptide bond; Membrane; Methylation; Nucleus; Phosphoprotein;Reference proteome; Ubl conjugation.,
Q9UMS4,BioGRID,PRP19_HUMAN,Pre-mRNA-processing factor 19 {ECO:0000305},504,3D-structure; Acetylation; Cytoplasm; Cytoskeleton;Direct protein sequencing; DNA damage; DNA repair; Lipid droplet;mRNA processing; mRNA splicing; Nucleus; Reference proteome; Repeat;Spliceosome; Transferase; Ubl conjugation pathway; WD repeat.,DNA repair;RNA processing
P13796,BioGRID,PLSL_HUMAN,Plastin-2,627,3D-structure; Acetylation; Actin-binding; Alternative splicing; Calcium;Cell junction; Cell membrane; Cell projection; Chromosomal rearrangement;Cytoplasm; Cytoskeleton; Direct protein sequencing; Disease variant;Membrane; Metal-binding; Phosphoprotein; Reference proteome; Repeat.,
Q02078,Gene Ontology,MEF2A_HUMAN,Myocyte-specific enhancer factor 2A,507,3D-structure; Acetylation; Activator; Alternative splicing; Apoptosis;Developmental protein; Differentiation; Disease variant; DNA-binding;Isopeptide bond; Neurogenesis; Nucleus; Phosphoprotein; Reference proteome;Transcription; Transcription regulation; Ubl conjugation.,DNA-binding transcription factors
O96006,Gene Ontology,ZBED1_HUMAN,E3 SUMO-protein ligase ZBED1 {ECO:0000305},694,3D-structure; DNA-binding; Host-virus interaction; Metal-binding; Nucleus;Reference proteome; Transcription; Transcription regulation; Transferase;Ubl conjugation; Ubl conjugation pathway; Zinc; Zinc-finger.,DNA-binding transcription factors
P41250,BioGRID,GARS_HUMAN,Glycine--tRNA ligase,739,3D-structure; Acetylation; Alternative initiation;Aminoacyl-tRNA synthetase; ATP-binding; Cell projection;Charcot-Marie-Tooth disease; Cytoplasm; Disease variant; Hydrolase; Ligase;Mitochondrion; Neurodegeneration; Neuropathy; Nucleotide-binding;Phosphoprotein; Protein biosynthesis; Reference proteome; Secreted;Transferase; Transit peptide.,
Q3ZCX4,Gene Ontology,ZN568_HUMAN,Zinc finger protein 568,644,3D-structure; Alternative splicing; Developmental protein; DNA-binding;Metal-binding; Nucleus; Reference proteome; Repeat; Transcription;Transcription regulation; Zinc; Zinc-finger.,DNA-binding transcription factors
Q8WWF6,BioGRID,DNJB3_HUMAN,DnaJ homolog subfamily B member 3,145,3D-structure; Chaperone; Reference proteome.,
Q07021,BioGRID,C1QBP_HUMAN,"Complement component 1 Q subcomponent-binding protein, mitochondrial",282,3D-structure; Acetylation; Adaptive immunity; Apoptosis; Cell membrane;Complement pathway; Cytoplasm; Direct protein sequencing; Disease variant;Host-virus interaction; Immunity; Innate immunity; Membrane; Mitochondrion;mRNA processing; mRNA splicing; Nucleus; Phosphoprotein;Primary mitochondrial disease; Reference proteome; Ribosome biogenesis;Secreted; Transcription; Transcription regulation; Transit peptide.,RNA processing
Q9UN86,BioGRID,G3BP2_HUMAN,Ras GTPase-activating protein-binding protein 2,482,3D-structure; Alternative splicing; Cytoplasm; Direct protein sequencing;Host-virus interaction; Immunity; Innate immunity; Isopeptide bond;Methylation; mRNA transport; Phosphoprotein; Reference proteome;RNA-binding; Transport; Ubl conjugation.,
Q02086,BioGRID,SP2_HUMAN,Transcription factor Sp2,613,Activator; Alternative splicing; DNA-binding; Metal-binding; Nucleus;Phosphoprotein; Reference proteome; Repeat; Transcription;Transcription regulation; Zinc; Zinc-finger.,DNA-binding transcription factors
Q96C10,Gene Ontology,DHX58_HUMAN,ATP-dependent RNA helicase DHX58 {ECO:0000305|PubMed:19211564},678,3D-structure; Antiviral defense; ATP-binding; Coiled coil; Cytoplasm;Helicase; Host-virus interaction; Hydrolase; Immunity; Innate immunity;Metal-binding; Nucleotide-binding; Reference proteome; RNA-binding; Zinc.,
P0DPB6,Gene Ontology,RPAC2_HUMAN,DNA-directed RNA polymerases I and III subunit RPAC2,133,3D-structure; Acetylation; Alternative splicing; Direct protein sequencing;Disease variant; DNA-directed RNA polymerase; Nucleus; Reference proteome;Transcription.,RNA polymerases;DNA-templated transcription
O75683,Gene Ontology,SURF6_HUMAN,Surfeit locus protein 6,361,3D-structure; DNA-binding; Nucleus; Phosphoprotein; Reference proteome;RNA-binding.,
Q96SE7,Gene Ontology,ZN347_HUMAN,Zinc finger protein 347,839,3D-structure; Alternative splicing; DNA-binding; Isopeptide bond;Metal-binding; Nucleus; Reference proteome; Repeat; Transcription;Transcription regulation; Ubl conjugation; Zinc; Zinc-finger.,DNA-binding transcription factors
O00629,BioGRID,IMA3_HUMAN,Importin subunit alpha-3,521,3D-structure; Acetylation; Cytoplasm; Host-virus interaction; Nucleus;Phosphoprotein; Protein transport; Reference proteome; Repeat; Transport.,
Q13127,Gene Ontology,REST_HUMAN,RE1-silencing transcription factor,1097,3D-structure; Alternative splicing; Cytoplasm; Deafness; Disease variant;Metal-binding; Non-syndromic deafness; Nucleus; Phosphoprotein;Reference proteome; Repeat; Repressor; Transcription;Transcription regulation; Ubl conjugation; Zinc; Zinc-finger.,DNA-binding transcription factors
Q9BQ15,Gene Ontology,SOSB1_HUMAN,SOSS complex subunit B1,211,3D-structure; Alternative splicing; DNA damage; DNA repair; DNA-binding;Nucleus; Phosphoprotein; Reference proteome; Ubl conjugation.,DNA repair;Telomere-associated
P62891,BioGRID,RL39_HUMAN,Large ribosomal subunit protein eL39 {ECO:0000303|PubMed:24524803},51,3D-structure; Cytoplasm; Reference proteome; Ribonucleoprotein;Ribosomal protein.,
Q8WYA1,Gene Ontology,BMAL2_HUMAN,Basic helix-loop-helix ARNT-like protein 2 {ECO:0000312|HGNC:HGNC:18984},636,3D-structure; Activator; Alternative splicing; Biological rhythms;DNA-binding; Isopeptide bond; Nucleus; Reference proteome; Repeat;Transcription; Transcription regulation; Ubl conjugation.,Regulation of transcription;DNA-binding transcription factors
Q9P0L2,BioGRID,MARK1_HUMAN,Serine/threonine-protein kinase MARK1,795,3D-structure; Alternative splicing; ATP-binding; Autism;Autism spectrum disorder; Cell membrane; Cell projection; Cytoplasm;Cytoskeleton; Kinase; Lipid-binding; Magnesium; Membrane; Metal-binding;Nucleotide-binding; Phosphoprotein; Reference proteome;Serine/threonine-protein kinase; Transferase; Wnt signaling pathway.,
P78317,Gene Ontology,RNF4_HUMAN,E3 ubiquitin-protein ligase RNF4 {ECO:0000305},190,3D-structure; Activator; Alternative splicing; Cytoplasm; DNA-binding;Metal-binding; Nucleus; Phosphoprotein; Reference proteome; Transcription;Transcription regulation; Transferase; Ubl conjugation;Ubl conjugation pathway; Zinc; Zinc-finger.,
Q86U42,BioGRID,PABP2_HUMAN,Polyadenylate-binding protein 2 {ECO:0000305},306,3D-structure; Acetylation; Alternative splicing; Coiled coil; Cytoplasm;Direct protein sequencing; Disease variant; Methylation; mRNA processing;Nucleus; Phosphoprotein; Reference proteome; RNA-binding;Triplet repeat expansion.,RNA processing
Q8TEA8,Gene Ontology,DTD1_HUMAN,D-aminoacyl-tRNA deacylase 1 {ECO:0000250|UniProtKB:Q8IIS0},209,3D-structure; Cytoplasm; DNA replication; DNA-binding; Hydrolase;Magnesium; Metal-binding; Nucleus; Phosphoprotein; Reference proteome;RNA-binding; tRNA-binding.,DNA replication
Q9HBD1,Gene Ontology,RC3H2_HUMAN,Roquin-2,1191,3D-structure; Alternative splicing; Cytoplasm; Metal-binding;Phosphoprotein; Reference proteome; Repressor; RNA-binding; Transferase;Ubl conjugation pathway; Zinc; Zinc-finger.,
O43172,BioGRID,PRP4_HUMAN,U4/U6 small nuclear ribonucleoprotein Prp4,522,3D-structure; Acetylation; Alternative splicing; Direct protein sequencing;Disease variant; mRNA processing; mRNA splicing; Nucleus;Reference proteome; Repeat; Retinitis pigmentosa; Spliceosome; WD repeat.,RNA processing
Q9Y483,Gene Ontology,MTF2_HUMAN,Metal-response element-binding transcription factor 2,593,3D-structure; Alternative splicing; Chromatin regulator; DNA-binding;Isopeptide bond; Metal-binding; Nucleus; Phosphoprotein;Reference proteome; Repeat; Ubl conjugation; Zinc; Zinc-finger.,Histone PTM readers
P55795,BioGRID,HNRH2_HUMAN,"Heterogeneous nuclear ribonucleoprotein H2, N-terminally processed",449,3D-structure; Acetylation; Direct protein sequencing; Disease variant;Intellectual disability; Isopeptide bond; Methylation; Nucleus;Phosphoprotein; Reference proteome; Repeat; Ribonucleoprotein; RNA-binding;Ubl conjugation.,
P06400,Gene Ontology,RB_HUMAN,Retinoblastoma-associated protein,928,3D-structure; Acetylation; Cell cycle; Chromatin regulator;Direct protein sequencing; Disease variant; DNA-binding;Host-virus interaction; Methylation; Nucleus; Phosphoprotein;Reference proteome; Repressor; Transcription; Transcription regulation;Tumor suppressor.,Chromatin remodelers;Regulation of transcription;DNA-templated transcription
P21333,BioGRID,FLNA_HUMAN,Filamin-A,2647,3D-structure; Acetylation; Actin-binding; Alternative splicing;Cell projection; Cilium biogenesis/degradation; Cytoplasm; Cytoskeleton;Deafness; Direct protein sequencing; Disease variant; Isopeptide bond;Phosphoprotein; Reference proteome; Repeat; Ubl conjugation.,DNA-templated transcription
P62244,BioGRID,RS15A_HUMAN,Small ribosomal subunit protein uS8 {ECO:0000303|PubMed:24524803},130,3D-structure; Cytoplasm; Diamond-Blackfan anemia;Direct protein sequencing; Nucleus; Reference proteome; Ribonucleoprotein;Ribosomal protein.,Preribosome-associated
Q6NXT2,Gene Ontology,H3C_HUMAN,Histone H3.3C,135,3D-structure; Acetylation; ADP-ribosylation; Chromosome; Citrullination;DNA-binding; Hydroxylation; Methylation; Nucleosome core; Nucleus;Phosphoprotein; Reference proteome; Ubl conjugation.,Histones
Q9H161,Gene Ontology,ALX4_HUMAN,Homeobox protein aristaless-like 4,411,3D-structure; Activator; Craniosynostosis; Developmental protein;Disease variant; DNA-binding; Homeobox; Nucleus; Phosphoprotein;Reference proteome; Transcription; Transcription regulation.,DNA-binding transcription factors
Q9H9Q4,Gene Ontology,NHEJ1_HUMAN,Non-homologous end-joining factor 1 {ECO:0000305},299,3D-structure; Alternative splicing; Chromosomal rearrangement; Chromosome;Coiled coil; Disease variant; DNA damage; DNA repair; DNA-binding; Nucleus;Phosphoprotein; Reference proteome; SCID.,DNA repair
Q9NR30,Gene Ontology,DDX21_HUMAN,Nucleolar RNA helicase 2 {ECO:0000305},783,3D-structure; Acetylation; Alternative splicing; Antiviral defense;ATP-binding; Cytoplasm; Direct protein sequencing; Helicase; Hydrolase;Immunity; Innate immunity; Isopeptide bond; Mitochondrion;Nucleotide-binding; Nucleus; Phosphoprotein; Reference proteome; Repeat;RNA-binding; rRNA processing; Transcription; Ubl conjugation.,Chromatin remodelers;DNA-templated transcription
Q32MZ4,Gene Ontology,LRRF1_HUMAN,Leucine-rich repeat flightless-interacting protein 1,808,3D-structure; Acetylation; Alternative splicing; Coiled coil; Cytoplasm;DNA-binding; Isopeptide bond; Nucleus; Phosphoprotein; Reference proteome;Repressor; Transcription; Transcription regulation; Ubl conjugation.,DNA-binding transcription factors
Q8N884,Gene Ontology,CGAS_HUMAN,Cyclic GMP-AMP synthase {ECO:0000303|PubMed:23258413},522,3D-structure; Acetylation; ADP-ribosylation; Alternative splicing;Antiviral defense; ATP-binding; Cell membrane; Chromosome; Cytoplasm;DNA damage; DNA repair; DNA-binding; GTP-binding; Host-virus interaction;Immunity; Innate immunity; Isopeptide bond; Lipid-binding; Lipoprotein;Magnesium; Membrane; Metal-binding; Methylation; Nucleotide-binding;Nucleotidyltransferase; Nucleus; Palmitate; Phosphoprotein;Reference proteome; Transferase; Ubl conjugation; Zinc.,
Q16666,Gene Ontology,IF16_HUMAN,Gamma-interferon-inducible protein 16 {ECO:0000303|PubMed:1526658},785,3D-structure; Acetylation; Activator; Alternative splicing; Apoptosis;Autophagy; Cytoplasm; DNA-binding; Immunity; Inflammatory response;Innate immunity; Isopeptide bond; Nucleus; Phosphoprotein;Reference proteome; Repeat; Repressor; Transcription;Transcription regulation; Ubl conjugation.,
Q8NEM2,BioGRID,SHCBP_HUMAN,SHC SH2 domain-binding protein 1,672,Acetylation; Cytoplasm; Cytoskeleton; Phosphoprotein; Reference proteome;Repeat.,
Q9BX63,Gene Ontology,FANCJ_HUMAN,Fanconi anemia group J protein {ECO:0000305},1249,3D-structure; 4Fe-4S; Acetylation; Alternative splicing; ATP-binding;Cytoplasm; Direct protein sequencing; Disease variant; DNA damage;DNA repair; Fanconi anemia; Helicase; Hydrolase; Iron; Iron-sulfur;Metal-binding; Nucleotide-binding; Nucleus; Phosphoprotein;Reference proteome.,DNA repair;DNA recombination;DNA-modifying enzymes
Q12788,BioGRID,TBL3_HUMAN,Transducin beta-like protein 3,808,3D-structure; Acetylation; Isopeptide bond; Nucleus; Phosphoprotein;Reference proteome; Repeat; Ubl conjugation; WD repeat.,RNA processing;Preribosome-associated
Q8WYQ5,BioGRID,DGCR8_HUMAN,Microprocessor complex subunit DGCR8,773,3D-structure; Alternative splicing; Heme; Iron; Isopeptide bond;Metal-binding; Nucleus; Phosphoprotein; Reference proteome; Repeat;RNA-binding; Ubl conjugation.,RNA processing
Q7Z5L9,BioGRID,I2BP2_HUMAN,Interferon regulatory factor 2-binding protein 2,587,Acetylation; Activator; Alternative splicing; Cytoplasm; Disease variant;Isopeptide bond; Metal-binding; Nucleus; Phosphoprotein;Reference proteome; Repressor; Transcription; Transcription regulation;Ubl conjugation; Zinc; Zinc-finger.,
Q71U36,BioGRID,TBA1A_HUMAN,Detyrosinated tubulin alpha-1A chain,451,3D-structure; Acetylation; Alternative splicing; Cytoplasm; Cytoskeleton;Direct protein sequencing; Disease variant; GTP-binding; Hydrolase;Isopeptide bond; Lissencephaly; Magnesium; Metal-binding; Methylation;Microtubule; Nitration; Nucleotide-binding; Phosphoprotein;Reference proteome.,
Q9UBX3,BioGRID,DIC_HUMAN,Mitochondrial dicarboxylate carrier {ECO:0000303|PubMed:10585886},287,Alternative splicing; Antiport; Disease variant; Lipid transport; Membrane;Mitochondrion; Mitochondrion inner membrane; Primary mitochondrial disease;Reference proteome; Repeat; Transmembrane; Transmembrane helix; Transport.,
P01375,Gene Ontology,TNFA_HUMAN,"Tumor necrosis factor, soluble form",233,3D-structure; Cell membrane; Cytokine; Direct protein sequencing;Disulfide bond; Glycoprotein; Lipoprotein; Membrane; Myristate;Phosphoprotein; Reference proteome; Secreted; Signal-anchor; Transmembrane;Transmembrane helix.,
P12268,Gene Ontology,IMDH2_HUMAN,Inosine-5'-monophosphate dehydrogenase 2 {ECO:0000303|PubMed:24477477},514,3D-structure; Acetylation; CBS domain; Cytoplasm;Direct protein sequencing; DNA-binding; GMP biosynthesis; Isopeptide bond;Metal-binding; NAD; Nucleus; Oxidoreductase; Phosphoprotein; Potassium;Purine biosynthesis; Reference proteome; Repeat; RNA-binding;Ubl conjugation.,
P10412,Gene Ontology,H14_HUMAN,Histone H1.4,219,3D-structure; Acetylation; ADP-ribosylation; Chromosome; Citrullination;Direct protein sequencing; DNA-binding; Hydroxylation;Intellectual disability; Methylation; Nucleus; Phosphoprotein;Reference proteome.,Histones
O95831,Gene Ontology,AIFM1_HUMAN,"Apoptosis-inducing factor 1, mitochondrial {ECO:0000305}",613,3D-structure; Acetylation; Alternative splicing; Apoptosis;Charcot-Marie-Tooth disease; Cytoplasm; Deafness;Direct protein sequencing; Disease variant; DNA-binding; Dwarfism; FAD;Flavoprotein; Intellectual disability; Isopeptide bond; Membrane;Mitochondrion; Mitochondrion inner membrane; NAD; Neurodegeneration;Neuropathy; Nucleus; Oxidoreductase; Phosphoprotein;Primary mitochondrial disease; Reference proteome; Transit peptide;Ubl conjugation.,
P46821,BioGRID,MAP1B_HUMAN,MAP1 light chain LC1,2468,Acetylation; Cell projection; Cytoplasm; Cytoskeleton; Deafness;Direct protein sequencing; Disease variant; Microtubule;Non-syndromic deafness; Phosphoprotein; Reference proteome; Repeat;S-nitrosylation; Synapse.,
Q8IZX4,Gene Ontology,TAF1L_HUMAN,Transcription initiation factor TFIID subunit 1-like,1826,3D-structure; Bromodomain; Cell cycle; DNA-binding; Nucleus;Reference proteome; Repeat; Transcription; Transcription regulation.,Histone PTM readers;Histone modification;Regulation of transcription;General TFs;DNA-templated transcription
O75955,BioGRID,FLOT1_HUMAN,Flotillin-1,427,Alternative splicing; Cell membrane; Endosome; Membrane; Phosphoprotein;Reference proteome.,
Q96GM5,BioGRID,SMRD1_HUMAN,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1,515,3D-structure; Acetylation; Alternative splicing; Chromatin regulator;Coiled coil; Disease variant; Intellectual disability; Isopeptide bond;Methylation; Neurogenesis; Nucleus; Phosphoprotein; Reference proteome;Ubl conjugation.,Chromatin remodelers;Centromere-associated;DNA-templated transcription
P09874,Gene Ontology,PARP1_HUMAN,"Poly [ADP-ribose] polymerase 1, processed N-terminus {ECO:0000305}",1014,3D-structure; Acetylation; ADP-ribosylation; Allosteric enzyme; Apoptosis;Chromosome; Cytoplasm; Direct protein sequencing; DNA damage; DNA repair;DNA-binding; Glycosyltransferase; Immunity; Innate immunity;Isopeptide bond; Metal-binding; NAD; Nucleotidyltransferase; Nucleus;Phosphoprotein; Reference proteome; Repeat; Transcription;Transcription regulation; Transferase; Ubl conjugation; Zinc; Zinc-finger.,Histone PTM writers;DNA replication;DNA repair;Telomere-associated;DNA-templated transcription
P22415,Gene Ontology,USF1_HUMAN,Upstream stimulatory factor 1,310,3D-structure; Alternative splicing; Direct protein sequencing; DNA-binding;Isopeptide bond; Nucleus; Reference proteome; Transcription;Transcription regulation; Ubl conjugation.,DNA-binding transcription factors
Q08170,BioGRID,SRSF4_HUMAN,Serine/arginine-rich splicing factor 4,494,Direct protein sequencing; mRNA processing; mRNA splicing; Nucleus;Phosphoprotein; Reference proteome; Repeat; Repressor; RNA-binding.,RNA processing
P56537,BioGRID,IF6_HUMAN,Eukaryotic translation initiation factor 6 {ECO:0000255|HAMAP-Rule:MF_03132},245,3D-structure; Alternative splicing; Cytoplasm; Initiation factor; Nucleus;Phosphoprotein; Protein biosynthesis; Reference proteome;Ribosome biogenesis; Ubl conjugation.,Preribosome-associated
Q9Y3I0,BioGRID,RTCB_HUMAN,"RNA-splicing ligase RtcB homolog {ECO:0000255|HAMAP-Rule:MF_03144, ECO:0000305}",505,3D-structure; Cytoplasm; Direct protein sequencing; GTP-binding;Isopeptide bond; Ligase; Manganese; Metal-binding; Nucleotide-binding;Nucleus; Phosphoprotein; Reference proteome; tRNA processing;Ubl conjugation.,RNA processing
Q8IZL8,BioGRID,PELP1_HUMAN,"Proline-, glutamic acid- and leucine-rich protein 1",1130,3D-structure; Acetylation; Activator; Cytoplasm; Isopeptide bond; Nucleus;Phosphoprotein; Reference proteome; Repeat; Repressor; Transcription;Ubl conjugation.,Euchromatin-associated
O14974,BioGRID,MYPT1_HUMAN,Protein phosphatase 1 regulatory subunit 12A,1030,3D-structure; Alternative splicing; ANK repeat; Cytoplasm; Cytoskeleton;Direct protein sequencing; Disease variant; Hydroxylation; Phosphoprotein;Reference proteome; Repeat.,Centromere-associated
Q16514,Gene Ontology,TAF12_HUMAN,Transcription initiation factor TFIID subunit 12 {ECO:0000305},161,3D-structure; Alternative initiation; Direct protein sequencing;Isopeptide bond; Nucleus; Phosphoprotein; Reference proteome;Transcription; Transcription regulation; Ubl conjugation.,Regulation of transcription;General TFs;DNA-templated transcription
Q8IZW8,BioGRID,TENS4_HUMAN,Tensin-4,715,Actin-binding; Cell junction; Cytoplasm; Cytoskeleton; Phosphoprotein;Reference proteome; SH2 domain; Signal.,
Q9UJX2,BioGRID,CDC23_HUMAN,Cell division cycle protein 23 homolog,597,3D-structure; Acetylation; Alternative splicing; Cell cycle; Cell division;Isopeptide bond; Mitosis; Phosphoprotein; Reference proteome; Repeat;TPR repeat; Ubl conjugation; Ubl conjugation pathway.,
Q9H7D7,BioGRID,WDR26_HUMAN,WD repeat-containing protein 26,661,Alternative splicing; Cytoplasm; Disease variant; Intellectual disability;Mitochondrion; Nucleus; Phosphoprotein; Reference proteome; Repeat;WD repeat.,
Q5PSV4,BioGRID,BRM1L_HUMAN,Breast cancer metastasis-suppressor 1-like protein,323,Alternative splicing; Coiled coil; Growth regulation; Isopeptide bond;Nucleus; Phosphoprotein; Reference proteome; Repressor; Transcription;Transcription regulation; Ubl conjugation.,
Q9UJQ4,STRING,SALL4_HUMAN,Sal-like protein 4,1053,3D-structure; Alternative splicing; Cytoplasm; Deafness; Disease variant;DNA-binding; Isopeptide bond; Metal-binding; Nucleus; Oncogene;Phosphoprotein; Reference proteome; Repeat; Transcription;Transcription regulation; Ubl conjugation; Zinc; Zinc-finger.,Heterochromatin-associated;DNA-binding transcription factors
P28702,Gene Ontology,RXRB_HUMAN,Retinoic acid receptor RXR-beta,533,3D-structure; Alternative splicing; Cytoplasm; DNA-binding; Metal-binding;Methylation; Nucleus; Receptor; Reference proteome; Transcription;Transcription regulation; Zinc; Zinc-finger.,Nuclear hormone receptors;Regulation of transcription;DNA-binding transcription factors;DNA-templated transcription
P60842,BioGRID,IF4A1_HUMAN,Eukaryotic initiation factor 4A-I,406,3D-structure; Acetylation; Alternative splicing; ATP-binding; Helicase;Host-virus interaction; Hydrolase; Initiation factor; Isopeptide bond;Nucleotide-binding; Phosphoprotein; Protein biosynthesis;Reference proteome; RNA-binding; Ubl conjugation.,
Q5SXM2,Gene Ontology,SNPC4_HUMAN,snRNA-activating protein complex subunit 4,1469,3D-structure; DNA-binding; Nucleus; Phosphoprotein; Reference proteome;Repeat; Transcription; Transcription regulation.,DNA-templated transcription
P61962,BioGRID,DCAF7_HUMAN,DDB1- and CUL4-associated factor 7,342,Alternative splicing; Cytoplasm; Developmental protein; Nucleus;Reference proteome; Repeat; Ubl conjugation pathway; WD repeat.,
P21589,BioGRID,5NTD_HUMAN,5'-nucleotidase,574,3D-structure; Alternative splicing; Cell membrane;Direct protein sequencing; Disease variant; Disulfide bond; Glycoprotein;GPI-anchor; Hydrolase; Lipoprotein; Membrane; Metal-binding;Nucleotide-binding; Reference proteome; Signal; Zinc.,
P06744,BioGRID,G6PI_HUMAN,Glucose-6-phosphate isomerase {ECO:0000303|PubMed:2387591},558,3D-structure; Acetylation; Alternative splicing; Cytokine; Cytoplasm;Direct protein sequencing; Disease variant; Gluconeogenesis; Glycolysis;Growth factor; Hereditary hemolytic anemia; Hydroxylation; Isomerase;Phosphoprotein; Reference proteome; Secreted; Ubl conjugation.,
Q5C9Z4,BioGRID,NOM1_HUMAN,Nucleolar MIF4G domain-containing protein 1,860,Nucleus; Phosphoprotein; Reference proteome.,
Q6PJG2,Gene Ontology,MDEAS_HUMAN,Mitotic deacetylase-associated SANT domain protein {ECO:0000312|HGNC:HGNC:19853},1045,3D-structure; Acetylation; DNA-binding; Isopeptide bond; Methylation;Nucleus; Phosphoprotein; Reference proteome; Transcription;Transcription regulation; Ubl conjugation.,
Q15648,Gene Ontology,MED1_HUMAN,Mediator of RNA polymerase II transcription subunit 1,1581,3D-structure; Acetylation; Activator; Alternative splicing;Direct protein sequencing; DNA-binding; Nucleus; Phosphoprotein;Reference proteome; Repeat; Transcription; Transcription regulation.,Regulation of transcription;DNA-templated transcription
O43818,BioGRID,U3IP2_HUMAN,U3 small nucleolar RNA-interacting protein 2,475,3D-structure; Acetylation; Direct protein sequencing; Isopeptide bond;Methylation; Nucleus; Phosphoprotein; Reference proteome; Repeat;Ribonucleoprotein; RNA-binding; rRNA processing; Ubl conjugation;WD repeat.,Preribosome-associated
