UniProt AC,UniProt ID,Amino Acids,UniProt RecName,UniProt Keywords,Source,SimChrom
Q9Y6H5,SNCAP_HUMAN,919,Synphilin-1,3D-structure; Alternative splicing; ANK repeat; Coiled coil; Cytoplasm;Neurodegeneration; Parkinson disease; Parkinsonism; Reference proteome;Repeat; Ubl conjugation.,Gene Ontology,
O00409,FOXN3_HUMAN,490,Forkhead box protein N3,3D-structure; Alternative splicing; Cell cycle; DNA-binding; Nucleus;Phosphoprotein; Reference proteome; Repressor; Transcription;Transcription regulation.,Gene Ontology,DNA-binding transcription factors
Q9H2H0,CXXC4_HUMAN,198,CXXC-type zinc finger protein 4,3D-structure; Cytoplasm; DNA-binding; Metal-binding; Reference proteome;Wnt signaling pathway; Zinc; Zinc-finger.,Gene Ontology,Methylated DNA binding
P55036,PSMD4_HUMAN,377,26S proteasome non-ATPase regulatory subunit 4,3D-structure; Alternative splicing; Direct protein sequencing;Isopeptide bond; Phosphoprotein; Proteasome; Reference proteome; Repeat;Ubl conjugation.,Gene Ontology,
O14862,AIM2_HUMAN,343,Interferon-inducible protein AIM2 {ECO:0000303|PubMed:9242382},3D-structure; Cytoplasm; DNA damage; DNA-binding; Immunity; Inflammasome;Inflammatory response; Innate immunity; Nucleus; Reference proteome;Tumor suppressor.,Gene Ontology,
P17861,XBP1_HUMAN,261,"X-box-binding protein 1, luminal form {ECO:0000303|PubMed:25239945}",3D-structure; Acetylation; Activator; Alternative splicing; Angiogenesis;Apoptosis; Autophagy; Cleavage on pair of basic residues; Cytoplasm;Developmental protein; Differentiation; DNA-binding; Endoplasmic reticulum;Lipid biosynthesis; Lipid metabolism; Membrane; Myogenesis; Nucleus;Oncogene; Phosphoprotein; Protein transport; Reference proteome;Signal-anchor; Stress response; Transcription; Transcription regulation;Transmembrane; Transmembrane helix; Transport; Ubl conjugation;Unfolded protein response.,Gene Ontology,Regulation of transcription;DNA-binding transcription factors;DNA-templated transcription
Q92979,NEP1_HUMAN,244,Ribosomal RNA small subunit methyltransferase NEP1 {ECO:0000305|PubMed:20047967},3D-structure; Acetylation; Direct protein sequencing; Disease variant;Methyltransferase; Nucleus; Phosphoprotein; Reference proteome;Ribosome biogenesis; RNA-binding; rRNA processing; rRNA-binding;S-adenosyl-L-methionine; Transferase.,Gene Ontology,
Q15392,DHC24_HUMAN,516,Delta(24)-sterol reductase,Alternative splicing; Cholesterol biosynthesis; Cholesterol metabolism;Disease variant; Endoplasmic reticulum; FAD; Flavoprotein; Golgi apparatus;Lipid biosynthesis; Lipid metabolism; Membrane; NADP; Oxidoreductase;Reference proteome; Signal; Steroid biosynthesis; Steroid metabolism;Sterol biosynthesis; Sterol metabolism; Transmembrane; Transmembrane helix.,BioGRID,
O00482,NR5A2_HUMAN,541,Nuclear receptor subfamily 5 group A member 2,3D-structure; Activator; Alternative splicing; DNA-binding;Isopeptide bond; Lipid-binding; Metal-binding; Nucleus; Receptor;Reference proteome; Transcription; Transcription regulation;Ubl conjugation; Zinc; Zinc-finger.,Gene Ontology,Nuclear hormone receptors;Regulation of transcription;DNA-binding transcription factors
Q09028,RBBP4_HUMAN,425,Histone-binding protein RBBP4,3D-structure; Acetylation; Alternative splicing; Cell cycle;Chromatin regulator; Chromosome; Direct protein sequencing;DNA replication; Isopeptide bond; Nucleus; Phosphoprotein;Reference proteome; Repeat; Repressor; Telomere; Transcription;Transcription regulation; Ubl conjugation; WD repeat.,Gene Ontology,Chromatin remodelers;DNA replication;Telomere-associated;DNA-modifying enzymes;Histone chaperones
P09913,IFIT2_HUMAN,472,Interferon-induced protein with tetratricopeptide repeats 2,3D-structure; Acetylation; Antiviral defense; Apoptosis; Cytoplasm;Endoplasmic reticulum; Immunity; Innate immunity; Reference proteome;Repeat; RNA-binding; TPR repeat.,Gene Ontology,
P35221,CTNA1_HUMAN,906,Catenin alpha-1,3D-structure; Acetylation; Alternative splicing; Cell adhesion;Cell junction; Cell membrane; Cytoplasm; Cytoskeleton;Direct protein sequencing; Isopeptide bond; Membrane; Phosphoprotein;Reference proteome; Ubl conjugation.,Gene Ontology,
Q15649,ZNHI3_HUMAN,155,Zinc finger HIT domain-containing protein 3,3D-structure; Alternative splicing; Cytoplasm; Disease variant; Epilepsy;Intellectual disability; Metal-binding; Neurodegeneration; Nucleus;Phosphoprotein; Reference proteome; Zinc; Zinc-finger.,Gene Ontology,
P49916,DNLI3_HUMAN,1009,DNA ligase 3,3D-structure; Alternative initiation; Alternative splicing; ATP-binding;Cell cycle; Cell division; Disease variant; DNA damage; DNA recombination;DNA repair; DNA replication; Ligase; Magnesium; Metal-binding;Mitochondrion; Nucleotide-binding; Nucleus; Phosphoprotein;Primary mitochondrial disease; Reference proteome; Transit peptide; Zinc;Zinc-finger.,Gene Ontology,DNA replication;DNA repair;DNA-modifying enzymes
P23588,IF4B_HUMAN,611,Eukaryotic translation initiation factor 4B,3D-structure; Acetylation; Alternative splicing; Direct protein sequencing;Initiation factor; Isopeptide bond; Phosphoprotein; Protein biosynthesis;Reference proteome; RNA-binding; Ubl conjugation.,Gene Ontology,
P07237,PDIA1_HUMAN,508,Protein disulfide-isomerase,3D-structure; Acetylation; Cell membrane; Chaperone; Craniosynostosis;Direct protein sequencing; Disease variant; Disulfide bond;Endoplasmic reticulum; Isomerase; Membrane; Osteogenesis imperfecta;Phosphoprotein; Redox-active center; Reference proteome; Repeat; Signal.,Gene Ontology,
P82675,RT05_HUMAN,430,Small ribosomal subunit protein uS5m {ECO:0000303|PubMed:25838379},3D-structure; Alternative splicing; Mitochondrion; Reference proteome;Ribonucleoprotein; Ribosomal protein.,Gene Ontology,
Q96QH2,PRAM_HUMAN,670,PML-RARA-regulated adapter molecule 1,Lipid-binding; Phosphoprotein; Reference proteome; Repeat; SH3 domain.,BioGRID,
P09382,LEG1_HUMAN,135,Galectin-1,3D-structure; Acetylation; Apoptosis; Cytoplasm; Direct protein sequencing;Extracellular matrix; Lectin; Phosphoprotein; Reference proteome; Secreted.,Gene Ontology,
Q8IUH3,RBM45_HUMAN,476,RNA-binding protein 45,3D-structure; Alternative splicing; Cytoplasm; Developmental protein;Differentiation; Isopeptide bond; Neurogenesis; Nucleus; Phosphoprotein;Reference proteome; Repeat; RNA-binding; Ubl conjugation.,Gene Ontology,
Q06830,PRDX1_HUMAN,199,Peroxiredoxin-1,3D-structure; Acetylation; Antioxidant; Cytoplasm;Direct protein sequencing; Disulfide bond; Isopeptide bond; Oxidoreductase;Peroxidase; Phosphoprotein; Redox-active center; Reference proteome;Ubl conjugation.,Gene Ontology,
Q96SI9,STRBP_HUMAN,672,Spermatid perinuclear RNA-binding protein,3D-structure; Alternative splicing; Cytoplasm; Developmental protein;Differentiation; DNA-binding; Methylation; Reference proteome; Repeat;RNA-binding; Spermatogenesis.,Gene Ontology,
Q99590,SCAFB_HUMAN,1463,Protein SCAF11,Alternative splicing; Isopeptide bond; Metal-binding; Methylation;mRNA processing; mRNA splicing; Nucleus; Phosphoprotein;Reference proteome; Ubl conjugation; Zinc; Zinc-finger.,BioGRID,RNA processing
Q15149,PLEC_HUMAN,4684,Plectin,3D-structure; Acetylation; Actin-binding; Alternative splicing;Cell junction; Coiled coil; Cytoplasm; Cytoskeleton;Direct protein sequencing; Disease variant; Epidermolysis bullosa;Limb-girdle muscular dystrophy; Methylation; Phosphoprotein;Reference proteome; Repeat; SH3 domain.,Gene Ontology,
Q96BD5,PF21A_HUMAN,680,PHD finger protein 21A,3D-structure; Alternative splicing; Chromatin regulator; Coiled coil;Disease variant; DNA-binding; Epilepsy; Intellectual disability;Isopeptide bond; Metal-binding; Nucleus; Phosphoprotein;Reference proteome; Repressor; Transcription; Transcription regulation;Ubl conjugation; Zinc; Zinc-finger.,Gene Ontology,DNA repair
Q02078,MEF2A_HUMAN,507,Myocyte-specific enhancer factor 2A,3D-structure; Acetylation; Activator; Alternative splicing; Apoptosis;Developmental protein; Differentiation; Disease variant; DNA-binding;Isopeptide bond; Neurogenesis; Nucleus; Phosphoprotein; Reference proteome;Transcription; Transcription regulation; Ubl conjugation.,Gene Ontology,DNA-binding transcription factors
Q9H0Z9,RBM38_HUMAN,239,RNA-binding protein 38,3D-structure; Alternative splicing; Cell cycle; Cytoplasm; Differentiation;Host-virus interaction; mRNA processing; mRNA splicing; Nucleus;Reference proteome; RNA-binding.,Gene Ontology,
Q9BXW9,FACD2_HUMAN,1451,Fanconi anemia group D2 protein,3D-structure; Alternative splicing; Cell cycle; Disease variant;DNA damage; DNA repair; Fanconi anemia; Isopeptide bond; Nucleus;Phosphoprotein; Reference proteome; Ubl conjugation.,BioGRID,DNA repair;DNA recombination
O96006,ZBED1_HUMAN,694,E3 SUMO-protein ligase ZBED1 {ECO:0000305},3D-structure; DNA-binding; Host-virus interaction; Metal-binding; Nucleus;Reference proteome; Transcription; Transcription regulation; Transferase;Ubl conjugation; Ubl conjugation pathway; Zinc; Zinc-finger.,Gene Ontology,DNA-binding transcription factors
Q3ZCX4,ZN568_HUMAN,644,Zinc finger protein 568,3D-structure; Alternative splicing; Developmental protein; DNA-binding;Metal-binding; Nucleus; Reference proteome; Repeat; Transcription;Transcription regulation; Zinc; Zinc-finger.,Gene Ontology,DNA-binding transcription factors
Q9HCG8,CWC22_HUMAN,908,Pre-mRNA-splicing factor CWC22 homolog,3D-structure; mRNA processing; mRNA splicing; Nucleus; Phosphoprotein;Reference proteome; Spliceosome.,Gene Ontology,
Q9UN86,G3BP2_HUMAN,482,Ras GTPase-activating protein-binding protein 2,3D-structure; Alternative splicing; Cytoplasm; Direct protein sequencing;Host-virus interaction; Immunity; Innate immunity; Isopeptide bond;Methylation; mRNA transport; Phosphoprotein; Reference proteome;RNA-binding; Transport; Ubl conjugation.,Gene Ontology,
Q07021,C1QBP_HUMAN,282,"Complement component 1 Q subcomponent-binding protein, mitochondrial",3D-structure; Acetylation; Adaptive immunity; Apoptosis; Cell membrane;Complement pathway; Cytoplasm; Direct protein sequencing; Disease variant;Host-virus interaction; Immunity; Innate immunity; Membrane; Mitochondrion;mRNA processing; mRNA splicing; Nucleus; Phosphoprotein;Primary mitochondrial disease; Reference proteome; Ribosome biogenesis;Secreted; Transcription; Transcription regulation; Transit peptide.,Gene Ontology,RNA processing
Q96C10,DHX58_HUMAN,678,ATP-dependent RNA helicase DHX58 {ECO:0000305|PubMed:19211564},3D-structure; Antiviral defense; ATP-binding; Coiled coil; Cytoplasm;Helicase; Host-virus interaction; Hydrolase; Immunity; Innate immunity;Metal-binding; Nucleotide-binding; Reference proteome; RNA-binding; Zinc.,Gene Ontology,
Q9UJJ7,RUSD1_HUMAN,312,RNA pseudouridylate synthase domain-containing protein 1,3D-structure; Acetylation; Reference proteome.,Gene Ontology,
P0DPB6,RPAC2_HUMAN,133,DNA-directed RNA polymerases I and III subunit RPAC2,3D-structure; Acetylation; Alternative splicing; Direct protein sequencing;Disease variant; DNA-directed RNA polymerase; Nucleus; Reference proteome;Transcription.,Gene Ontology,RNA polymerases;DNA-templated transcription
O75683,SURF6_HUMAN,361,Surfeit locus protein 6,3D-structure; DNA-binding; Nucleus; Phosphoprotein; Reference proteome;RNA-binding.,Gene Ontology,
P41208,CETN2_HUMAN,172,Centrin-2,3D-structure; Acetylation; Calcium; Cell cycle; Cell division; Cytoplasm;Cytoskeleton; DNA damage; DNA repair; Isopeptide bond; Metal-binding;Mitosis; mRNA transport; Nuclear pore complex; Nucleus; Phosphoprotein;Protein transport; Reference proteome; Repeat; Translocation; Transport;Ubl conjugation.,BioGRID,DNA repair
Q96SE7,ZN347_HUMAN,839,Zinc finger protein 347,3D-structure; Alternative splicing; DNA-binding; Isopeptide bond;Metal-binding; Nucleus; Reference proteome; Repeat; Transcription;Transcription regulation; Ubl conjugation; Zinc; Zinc-finger.,Gene Ontology,DNA-binding transcription factors
Q9ULC4,MCTS1_HUMAN,181,Malignant T-cell-amplified sequence 1,3D-structure; Alternative splicing; Cell cycle; Cytoplasm; DNA damage;Growth regulation; Initiation factor; Phosphoprotein; Protein biosynthesis;Reference proteome; Transcription; Transcription regulation;Tumor suppressor.,Gene Ontology,
Q13127,REST_HUMAN,1097,RE1-silencing transcription factor,3D-structure; Alternative splicing; Cytoplasm; Deafness; Disease variant;Metal-binding; Non-syndromic deafness; Nucleus; Phosphoprotein;Reference proteome; Repeat; Repressor; Transcription;Transcription regulation; Ubl conjugation; Zinc; Zinc-finger.,Gene Ontology,DNA-binding transcription factors
Q07954,LRP1_HUMAN,4544,Low-density lipoprotein receptor-related protein 1 intracellular domain,3D-structure; Acetylation; Alternative splicing; Calcium; Cell membrane;Coated pit; Cytoplasm; Cytoskeleton; Developmental protein;Direct protein sequencing; Disease variant; Disulfide bond;EGF-like domain; Endocytosis; Glycoprotein; Golgi apparatus;Host-virus interaction; Membrane; Metal-binding; Nucleus; Phosphoprotein;Receptor; Reference proteome; Repeat; Signal; Transmembrane;Transmembrane helix.,Gene Ontology,
P62891,RL39_HUMAN,51,Large ribosomal subunit protein eL39 {ECO:0000303|PubMed:24524803},3D-structure; Cytoplasm; Reference proteome; Ribonucleoprotein;Ribosomal protein.,Gene Ontology,
Q9BQ15,SOSB1_HUMAN,211,SOSS complex subunit B1,3D-structure; Alternative splicing; DNA damage; DNA repair; DNA-binding;Nucleus; Phosphoprotein; Reference proteome; Ubl conjugation.,Gene Ontology,DNA repair;Telomere-associated
Q8WYA1,BMAL2_HUMAN,636,Basic helix-loop-helix ARNT-like protein 2 {ECO:0000312|HGNC:HGNC:18984},3D-structure; Activator; Alternative splicing; Biological rhythms;DNA-binding; Isopeptide bond; Nucleus; Reference proteome; Repeat;Transcription; Transcription regulation; Ubl conjugation.,Gene Ontology,Regulation of transcription;DNA-binding transcription factors
Q7Z4G1,COMD6_HUMAN,85,COMM domain-containing protein 6,3D-structure; Acetylation; Alternative splicing; Cytoplasm; Nucleus;Reference proteome; Transcription; Transcription regulation;Ubl conjugation pathway.,Gene Ontology,
P78317,RNF4_HUMAN,190,E3 ubiquitin-protein ligase RNF4 {ECO:0000305},3D-structure; Activator; Alternative splicing; Cytoplasm; DNA-binding;Metal-binding; Nucleus; Phosphoprotein; Reference proteome; Transcription;Transcription regulation; Transferase; Ubl conjugation;Ubl conjugation pathway; Zinc; Zinc-finger.,Gene Ontology,
Q86U42,PABP2_HUMAN,306,Polyadenylate-binding protein 2 {ECO:0000305},3D-structure; Acetylation; Alternative splicing; Coiled coil; Cytoplasm;Direct protein sequencing; Disease variant; Methylation; mRNA processing;Nucleus; Phosphoprotein; Reference proteome; RNA-binding;Triplet repeat expansion.,Gene Ontology,RNA processing
Q8TEA8,DTD1_HUMAN,209,D-aminoacyl-tRNA deacylase 1 {ECO:0000250|UniProtKB:Q8IIS0},3D-structure; Cytoplasm; DNA replication; DNA-binding; Hydrolase;Magnesium; Metal-binding; Nucleus; Phosphoprotein; Reference proteome;RNA-binding; tRNA-binding.,Gene Ontology,DNA replication
Q9HBD1,RC3H2_HUMAN,1191,Roquin-2,3D-structure; Alternative splicing; Cytoplasm; Metal-binding;Phosphoprotein; Reference proteome; Repressor; RNA-binding; Transferase;Ubl conjugation pathway; Zinc; Zinc-finger.,Gene Ontology,
O43172,PRP4_HUMAN,522,U4/U6 small nuclear ribonucleoprotein Prp4,3D-structure; Acetylation; Alternative splicing; Direct protein sequencing;Disease variant; mRNA processing; mRNA splicing; Nucleus;Reference proteome; Repeat; Retinitis pigmentosa; Spliceosome; WD repeat.,Gene Ontology,RNA processing
Q9Y483,MTF2_HUMAN,593,Metal-response element-binding transcription factor 2,3D-structure; Alternative splicing; Chromatin regulator; DNA-binding;Isopeptide bond; Metal-binding; Nucleus; Phosphoprotein;Reference proteome; Repeat; Ubl conjugation; Zinc; Zinc-finger.,Gene Ontology,Histone PTM readers
P55795,HNRH2_HUMAN,449,"Heterogeneous nuclear ribonucleoprotein H2, N-terminally processed",3D-structure; Acetylation; Direct protein sequencing; Disease variant;Intellectual disability; Isopeptide bond; Methylation; Nucleus;Phosphoprotein; Reference proteome; Repeat; Ribonucleoprotein; RNA-binding;Ubl conjugation.,Gene Ontology,
P06400,RB_HUMAN,928,Retinoblastoma-associated protein,3D-structure; Acetylation; Cell cycle; Chromatin regulator;Direct protein sequencing; Disease variant; DNA-binding;Host-virus interaction; Methylation; Nucleus; Phosphoprotein;Reference proteome; Repressor; Transcription; Transcription regulation;Tumor suppressor.,Gene Ontology,Chromatin remodelers;Regulation of transcription;DNA-templated transcription
P21333,FLNA_HUMAN,2647,Filamin-A,3D-structure; Acetylation; Actin-binding; Alternative splicing;Cell projection; Cilium biogenesis/degradation; Cytoplasm; Cytoskeleton;Deafness; Direct protein sequencing; Disease variant; Isopeptide bond;Phosphoprotein; Reference proteome; Repeat; Ubl conjugation.,Gene Ontology,DNA-templated transcription
Q9UMY1,UTP16_HUMAN,257,U3 small nucleolar RNA-associated protein NOL7 {ECO:0000305},3D-structure; Alternative splicing; Coiled coil; Isopeptide bond; Nucleus;Phosphoprotein; Reference proteome; Ribosome biogenesis; Ubl conjugation.,Gene Ontology,Preribosome-associated
P62244,RS15A_HUMAN,130,Small ribosomal subunit protein uS8 {ECO:0000303|PubMed:24524803},3D-structure; Cytoplasm; Diamond-Blackfan anemia;Direct protein sequencing; Nucleus; Reference proteome; Ribonucleoprotein;Ribosomal protein.,Gene Ontology,Preribosome-associated
Q6NXT2,H3C_HUMAN,135,Histone H3.3C,3D-structure; Acetylation; ADP-ribosylation; Chromosome; Citrullination;DNA-binding; Hydroxylation; Methylation; Nucleosome core; Nucleus;Phosphoprotein; Reference proteome; Ubl conjugation.,Gene Ontology,Histones
Q9H161,ALX4_HUMAN,411,Homeobox protein aristaless-like 4,3D-structure; Activator; Craniosynostosis; Developmental protein;Disease variant; DNA-binding; Homeobox; Nucleus; Phosphoprotein;Reference proteome; Transcription; Transcription regulation.,Gene Ontology,DNA-binding transcription factors
Q9H9Q4,NHEJ1_HUMAN,299,Non-homologous end-joining factor 1 {ECO:0000305},3D-structure; Alternative splicing; Chromosomal rearrangement; Chromosome;Coiled coil; Disease variant; DNA damage; DNA repair; DNA-binding; Nucleus;Phosphoprotein; Reference proteome; SCID.,Gene Ontology,DNA repair
Q96QE5,TEFM_HUMAN,360,"Transcription elongation factor, mitochondrial",3D-structure; Alternative splicing; Disease variant; Mitochondrion;Mitochondrion nucleoid; Primary mitochondrial disease; Reference proteome;Transcription; Transcription regulation; Transit peptide.,Gene Ontology,DNA replication;DNA-modifying enzymes;DNA-templated transcription
Q9NR30,DDX21_HUMAN,783,Nucleolar RNA helicase 2 {ECO:0000305},3D-structure; Acetylation; Alternative splicing; Antiviral defense;ATP-binding; Cytoplasm; Direct protein sequencing; Helicase; Hydrolase;Immunity; Innate immunity; Isopeptide bond; Mitochondrion;Nucleotide-binding; Nucleus; Phosphoprotein; Reference proteome; Repeat;RNA-binding; rRNA processing; Transcription; Ubl conjugation.,Gene Ontology,Chromatin remodelers;DNA-templated transcription
Q9BV47,DUS26_HUMAN,211,Dual specificity protein phosphatase 26,3D-structure; Alternative splicing; Cytoplasm; Golgi apparatus; Hydrolase;Nucleus; Protein phosphatase; Reference proteome.,Gene Ontology,
Q32MZ4,LRRF1_HUMAN,808,Leucine-rich repeat flightless-interacting protein 1,3D-structure; Acetylation; Alternative splicing; Coiled coil; Cytoplasm;DNA-binding; Isopeptide bond; Nucleus; Phosphoprotein; Reference proteome;Repressor; Transcription; Transcription regulation; Ubl conjugation.,Gene Ontology,DNA-binding transcription factors
Q8N884,CGAS_HUMAN,522,Cyclic GMP-AMP synthase {ECO:0000303|PubMed:23258413},3D-structure; Acetylation; ADP-ribosylation; Alternative splicing;Antiviral defense; ATP-binding; Cell membrane; Chromosome; Cytoplasm;DNA damage; DNA repair; DNA-binding; GTP-binding; Host-virus interaction;Immunity; Innate immunity; Isopeptide bond; Lipid-binding; Lipoprotein;Magnesium; Membrane; Metal-binding; Methylation; Nucleotide-binding;Nucleotidyltransferase; Nucleus; Palmitate; Phosphoprotein;Reference proteome; Transferase; Ubl conjugation; Zinc.,Gene Ontology,
Q8WXI7,MUC16_HUMAN,14507,Mucin-16 {ECO:0000305},3D-structure; Cell membrane; Direct protein sequencing; Disulfide bond;Glycoprotein; Membrane; Phosphoprotein; Reference proteome; Repeat;Secreted; Transmembrane; Transmembrane helix.,BioGRID,
Q16666,IF16_HUMAN,785,Gamma-interferon-inducible protein 16 {ECO:0000303|PubMed:1526658},3D-structure; Acetylation; Activator; Alternative splicing; Apoptosis;Autophagy; Cytoplasm; DNA-binding; Immunity; Inflammatory response;Innate immunity; Isopeptide bond; Nucleus; Phosphoprotein;Reference proteome; Repeat; Repressor; Transcription;Transcription regulation; Ubl conjugation.,Gene Ontology,
Q9BX63,FANCJ_HUMAN,1249,Fanconi anemia group J protein {ECO:0000305},3D-structure; 4Fe-4S; Acetylation; Alternative splicing; ATP-binding;Cytoplasm; Direct protein sequencing; Disease variant; DNA damage;DNA repair; Fanconi anemia; Helicase; Hydrolase; Iron; Iron-sulfur;Metal-binding; Nucleotide-binding; Nucleus; Phosphoprotein;Reference proteome.,Gene Ontology,DNA repair;DNA recombination;DNA-modifying enzymes
Q12788,TBL3_HUMAN,808,Transducin beta-like protein 3,3D-structure; Acetylation; Isopeptide bond; Nucleus; Phosphoprotein;Reference proteome; Repeat; Ubl conjugation; WD repeat.,Gene Ontology,RNA processing;Preribosome-associated
Q8WYQ5,DGCR8_HUMAN,773,Microprocessor complex subunit DGCR8,3D-structure; Alternative splicing; Heme; Iron; Isopeptide bond;Metal-binding; Nucleus; Phosphoprotein; Reference proteome; Repeat;RNA-binding; Ubl conjugation.,Gene Ontology,RNA processing
Q71U36,TBA1A_HUMAN,451,Detyrosinated tubulin alpha-1A chain,3D-structure; Acetylation; Alternative splicing; Cytoplasm; Cytoskeleton;Direct protein sequencing; Disease variant; GTP-binding; Hydrolase;Isopeptide bond; Lissencephaly; Magnesium; Metal-binding; Methylation;Microtubule; Nitration; Nucleotide-binding; Phosphoprotein;Reference proteome.,BioGRID,
P04196,HRG_HUMAN,525,Histidine-rich glycoprotein,Angiogenesis; Blood coagulation; Chemotaxis;Cleavage on pair of basic residues; Copper; Direct protein sequencing;Disease variant; Disulfide bond; Fibrinolysis; Glycoprotein; Hemostasis;Heparin-binding; Metal-binding; Reference proteome; Repeat; Secreted;Signal; Thrombophilia; Zinc.,BioGRID,
Q9UHK0,NUFP1_HUMAN,495,FMR1-interacting protein NUFIP1 {ECO:0000305|PubMed:10556305},3D-structure; Metal-binding; Nucleus; Phosphoprotein; Reference proteome;RNA-binding; Zinc; Zinc-finger.,Gene Ontology,
P01375,TNFA_HUMAN,233,"Tumor necrosis factor, soluble form",3D-structure; Cell membrane; Cytokine; Direct protein sequencing;Disulfide bond; Glycoprotein; Lipoprotein; Membrane; Myristate;Phosphoprotein; Reference proteome; Secreted; Signal-anchor; Transmembrane;Transmembrane helix.,Gene Ontology,
P12268,IMDH2_HUMAN,514,Inosine-5'-monophosphate dehydrogenase 2 {ECO:0000303|PubMed:24477477},3D-structure; Acetylation; CBS domain; Cytoplasm;Direct protein sequencing; DNA-binding; GMP biosynthesis; Isopeptide bond;Metal-binding; NAD; Nucleus; Oxidoreductase; Phosphoprotein; Potassium;Purine biosynthesis; Reference proteome; Repeat; RNA-binding;Ubl conjugation.,Gene Ontology,
P10412,H14_HUMAN,219,Histone H1.4,3D-structure; Acetylation; ADP-ribosylation; Chromosome; Citrullination;Direct protein sequencing; DNA-binding; Hydroxylation;Intellectual disability; Methylation; Nucleus; Phosphoprotein;Reference proteome.,Gene Ontology,Histones
O95831,AIFM1_HUMAN,613,"Apoptosis-inducing factor 1, mitochondrial {ECO:0000305}",3D-structure; Acetylation; Alternative splicing; Apoptosis;Charcot-Marie-Tooth disease; Cytoplasm; Deafness;Direct protein sequencing; Disease variant; DNA-binding; Dwarfism; FAD;Flavoprotein; Intellectual disability; Isopeptide bond; Membrane;Mitochondrion; Mitochondrion inner membrane; NAD; Neurodegeneration;Neuropathy; Nucleus; Oxidoreductase; Phosphoprotein;Primary mitochondrial disease; Reference proteome; Transit peptide;Ubl conjugation.,Gene Ontology,
Q8IZX4,TAF1L_HUMAN,1826,Transcription initiation factor TFIID subunit 1-like,3D-structure; Bromodomain; Cell cycle; DNA-binding; Nucleus;Reference proteome; Repeat; Transcription; Transcription regulation.,Gene Ontology,Histone PTM readers;Histone modification;Regulation of transcription;General TFs;DNA-templated transcription
P09874,PARP1_HUMAN,1014,"Poly [ADP-ribose] polymerase 1, processed N-terminus {ECO:0000305}",3D-structure; Acetylation; ADP-ribosylation; Allosteric enzyme; Apoptosis;Chromosome; Cytoplasm; Direct protein sequencing; DNA damage; DNA repair;DNA-binding; Glycosyltransferase; Immunity; Innate immunity;Isopeptide bond; Metal-binding; NAD; Nucleotidyltransferase; Nucleus;Phosphoprotein; Reference proteome; Repeat; Transcription;Transcription regulation; Transferase; Ubl conjugation; Zinc; Zinc-finger.,Gene Ontology,Histone PTM writers;DNA replication;DNA repair;Telomere-associated;DNA-templated transcription
Q7Z2W4,ZCCHV_HUMAN,902,Zinc finger CCCH-type antiviral protein 1,3D-structure; Acetylation; Alternative splicing; Antiviral defense;Cytoplasm; Immunity; Innate immunity; Metal-binding; Nucleus;Phosphoprotein; Reference proteome; Repeat; RNA-binding; Zinc; Zinc-finger.,Gene Ontology,
P22415,USF1_HUMAN,310,Upstream stimulatory factor 1,3D-structure; Alternative splicing; Direct protein sequencing; DNA-binding;Isopeptide bond; Nucleus; Reference proteome; Transcription;Transcription regulation; Ubl conjugation.,Gene Ontology,DNA-binding transcription factors
Q9Y3I0,RTCB_HUMAN,505,"RNA-splicing ligase RtcB homolog {ECO:0000255|HAMAP-Rule:MF_03144, ECO:0000305}",3D-structure; Cytoplasm; Direct protein sequencing; GTP-binding;Isopeptide bond; Ligase; Manganese; Metal-binding; Nucleotide-binding;Nucleus; Phosphoprotein; Reference proteome; tRNA processing;Ubl conjugation.,Gene Ontology,RNA processing
Q8IZL8,PELP1_HUMAN,1130,"Proline-, glutamic acid- and leucine-rich protein 1",3D-structure; Acetylation; Activator; Cytoplasm; Isopeptide bond; Nucleus;Phosphoprotein; Reference proteome; Repeat; Repressor; Transcription;Ubl conjugation.,Gene Ontology,Euchromatin-associated
P68036,UB2L3_HUMAN,154,Ubiquitin-conjugating enzyme E2 L3,3D-structure; Acetylation; Alternative splicing; ATP-binding; Cytoplasm;Direct protein sequencing; Nucleotide-binding; Nucleus; Reference proteome;Transcription; Transcription regulation; Transferase; Ubl conjugation;Ubl conjugation pathway.,Gene Ontology,
P36873,PP1G_HUMAN,323,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit,3D-structure; Acetylation; Alternative splicing; Biological rhythms;Carbohydrate metabolism; Cell cycle; Cell division; Centromere; Chromosome;Cytoplasm; Cytoskeleton; Direct protein sequencing; Disulfide bond;Glycogen metabolism; Hydrolase; Kinetochore; Manganese; Metal-binding;Mitochondrion; Nucleus; Phosphoprotein; Protein phosphatase;Reference proteome.,Gene Ontology,Histone PTM writers;Centromere-associated;Telomere-associated
Q9Y3T9,NOC2L_HUMAN,749,Nucleolar complex protein 2 homolog,3D-structure; Apoptosis; Nucleus; Phosphoprotein; Reference proteome;Repressor; Transcription; Transcription regulation.,Gene Ontology,Preribosome-associated;DNA-templated transcription
Q16514,TAF12_HUMAN,161,Transcription initiation factor TFIID subunit 12 {ECO:0000305},3D-structure; Alternative initiation; Direct protein sequencing;Isopeptide bond; Nucleus; Phosphoprotein; Reference proteome;Transcription; Transcription regulation; Ubl conjugation.,Gene Ontology,Regulation of transcription;General TFs;DNA-templated transcription
